@(10, 0x00008000, 0x00000800, 8.009374142e-08, 0.0)
@(10, 0x00000100, 0x00001000, -1.12187e-05, 0.0)
@(10, 0x00000200, 0x00002000, -1.09924e-05, 0.0)
@(10, 0x00000400, 0x00004000, -4.6408e-06, 0.0)
@(10, 0x00000800, 0x00008000, 3.0957e-06, 0.0)
@(10, 0x00000010, 0x00000010, -3.44589e-05, 0.0)
@(10, 0x00000020, 0x00000020, 8.5458e-06, 0.0)
@(10, 0x00000040, 0x00000040, -1.04215e-05, 0.0)
@(10, 0x00000080, 0x00000080, 3.2652e-06, 0.0)
@(11, 0x10000000, 0x01000000, 1.9595e-06, 0.0)
@(11, 0x20000000, 0x02000000, 6.278e-06, 0.0)
@(11, 0x40000000, 0x04000000, -1.35135e-05, 0.0)
@(11, 0x80000000, 0x08000000, -1.4314e-06, 0.0)
@(11, 0x01000000, 0x10000000, -6.8396e-06, 0.0)
@(11, 0x02000000, 0x20000000, 1.30348e-05, 0.0)
@(11, 0x04000000, 0x40000000, 3.8994e-06, 0.0)
@(11, 0x08000000, 0x80000000, 3.47747e-05, 0.0)
@(11, 0x00100000, 0x00100000, -1.13333e-05, 0.0)
@(11, 0x00200000, 0x00200000, -4.34e-06, 0.0)
@(11, 0x00400000, 0x00400000, -3.4124e-06, 0.0)
@(11, 0x00800000, 0x00800000, -1.64667e-05, 0.0)
@(11, 0x00001000, 0x00000100, 1.9595e-06, 0.0)
@(11, 0x00002000, 0x00000200, 6.278e-06, 0.0)
@(11, 0x00004000, 0x00000400, -1.35135e-05, 0.0)
@(11, 0x00008000, 0x00000800, -1.4314e-06, 0.0)
@(11, 0x00000100, 0x00001000, -6.8396e-06, 0.0)
@(11, 0x00000200, 0x00002000, 1.30348e-05, 0.0)
@(11, 0x00000400, 0x00004000, 3.8994e-06, 0.0)
@(11, 0x00000800, 0x00008000, 3.47747e-05, 0.0)
@(11, 0x00000010, 0x00000010, -1.13333e-05, 0.0)
@(11, 0x00000020, 0x00000020, -4.34e-06, 0.0)
@(11, 0x00000040, 0x00000040, -3.4124e-06, 0.0)
@(11, 0x00000080, 0x00000080, -1.64667e-05, 0.0)
@(12, 0x10000000, 0x01000000, -3.70154e-05, 0.0)
@(12, 0x20000000, 0x02000000, -1.47959e-05, 0.0)
@(12, 0x40000000, 0x04000000, -1.73766e-05, 0.0)
@(12, 0x80000000, 0x08000000, -6.9011e-06, 0.0)
@(12, 0x01000000, 0x10000000, -7.450580597e-07, 0.0)
@(12, 0x02000000, 0x20000000, 1.33207e-05, 0.0)
@(12, 0x04000000, 0x40000000, 2.05841e-05, 0.0)
@(12, 0x08000000, 0x80000000, -8.549541235e-07, 0.0)
@(12, 0x00100000, 0x00100000, 2.59383e-05, 0.0)
@(12, 0x00200000, 0x00200000, 7.0212e-06, 0.0)
@(12, 0x00400000, 0x00400000, -5.9372e-06, 0.0)
